,Graduated,ID,First_name,Last_name,State,Gender,Age,GPA,Days_missed
68,No,69,Henry,Howell,California,Male,17.0517799353,3.0,14.0
69,Yes,70,Lois,Chavez,Minnesota,Female,17.0,4.0,19.0
70,Yes,71,Melissa,Dunn,Massachusetts,Female,17.0,3.0,16.7755610973
71,Yes,72,Eric,Roberts,California,Male,18.0,3.50537634409,32.0
72,Yes,73,Timothy,Smith,California,Male,15.0,4.0,20.0
73,No,74,Kelly,Wheeler,New York,Female,16.0,3.0,25.0
74,Yes,75,Earl,Watson,Texas,Male,16.9588744589,3.50537634409,6.0
75,Yes,76,Fred,Owens,Texas,Male,16.9588744589,4.0,16.7755610973
76,Yes,77,Emily,Frazier,California,Female,16.0,3.0,3.0
77,No,78,James,Fowler,District of Columbia,Male,17.0,3.0,15.0
78,Yes,79,Johnny,Myers,Georgia,Male,16.9588744589,3.50537634409,16.0
79,No,80,Melissa,Harper,Kansas,Female,17.0,3.0,27.0
80,No,81,Joan,Reyes,California,Female,19.0,3.0,4.0
81,Yes,82,Keith,Sanchez,New York,Male,15.0,2.0,16.7755610973
82,No,83,Craig,Tucker,Indiana,Male,19.0,2.0,33.0
83,Yes,84,Judith,Nguyen,Missouri,Female,16.9588744589,4.0,13.0
84,Yes,85,Kenneth,Ramirez,,Male,19.0,3.50537634409,18.0
85,Yes,86,Margaret,Scott,North Carolina,Female,15.0,3.50537634409,19.0
86,Yes,87,Martha,Moreno,Kentucky,Female,19.0,2.0,16.7755610973
87,No,88,Sandra,Nguyen,,Female,17.0517799353,3.0,7.0
88,Yes,89,Albert,Willis,Utah,Male,18.0,3.50537634409,13.0
89,No,90,Shirley,Wheeler,Ohio,Female,17.0517799353,3.0,11.0
90,No,91,Heather,Olson,Texas,Female,17.0517799353,2.0,19.0
91,Yes,92,Lois,Hanson,Washington,Female,19.0,4.0,31.0
92,Yes,93,Diane,Stanley,Ohio,Female,16.0,3.50537634409,20.0
93,Yes,94,Jack,Williamson,Florida,Male,16.0,4.0,31.0
94,No,95,Earl,Walker,Louisiana,Male,15.0,3.0,31.0
95,Yes,96,Justin,Gardner,Nebraska,Male,16.9588744589,3.50537634409,29.0
96,Yes,97,Edward,Hughes,California,Male,18.0,2.0,16.7755610973
97,Yes,98,Lisa,Harper,Florida,Female,15.0,3.50537634409,23.0
98,No,99,Amy,Alexander,,Female,19.0,3.0,13.0
99,Yes,100,Emily,Bradley,,Female,17.0,3.50537634409,5.0
100,Yes,101,Diana,Evans,Texas,Female,16.9588744589,3.0,16.7755610973
101,No,102,Juan,Romero,Texas,Male,16.0,3.0,15.0
102,Yes,103,Debra,Woods,,Female,19.0,4.0,13.0
103,Yes,104,Donna,Cooper,Florida,Female,15.0,3.50537634409,16.7755610973
104,Yes,105,Jason,Wright,Virginia,Male,17.0,4.0,23.0
105,No,106,Mary,Sanchez,Michigan,Female,16.0,2.0,21.0
106,No,107,Steven,Welch,New York,Male,16.0,3.0,17.0
107,Yes,108,Debra,Larson,Virginia,Female,17.0,4.0,16.7755610973
108,Yes,109,Carlos,Gibson,Connecticut,Male,15.0,4.0,28.0
109,Yes,110,Janet,Johnson,Virginia,Female,17.0,3.50537634409,16.0
110,Yes,111,Kathryn,Welch,Colorado,Female,15.0,4.0,16.7755610973
111,No,112,Kathleen,Dixon,New York,Female,17.0517799353,2.0,6.0
112,No,113,Harold,Rivera,,Male,18.0,2.0,10.0
113,Yes,114,Nancy,Olson,Illinois,Female,15.0,3.50537634409,16.7755610973
114,Yes,115,Daniel,Jacobs,Missouri,Male,15.0,4.0,26.0
115,No,116,Eugene,Ferguson,Connecticut,Male,16.0,3.0,15.0
116,No,117,Johnny,Webb,South Carolina,Male,18.0,3.0,16.0
117,Yes,118,Lillian,Frazier,Nebraska,Female,15.0,4.0,21.0
118,No,119,Stephanie,Gomez,,Female,17.0517799353,3.0,31.0
119,No,120,Linda,Wagner,New York,Female,16.0,3.0,29.0
120,No,121,Carlos,Oliver,Florida,Male,16.0,2.0,33.0
121,No,122,Jose,Diaz,,Male,15.0,2.0,12.0
122,No,123,William,Sanchez,,Male,15.0,3.0,28.0
123,Yes,124,Eugene,Harper,Louisiana,Male,19.0,4.0,14.0
124,Yes,125,Louis,Lewis,Utah,Male,15.0,4.0,17.0
125,Yes,126,Janice,Watson,,Female,18.0,3.0,16.7755610973
126,Yes,127,Shawn,Grant,Florida,Male,15.0,3.50537634409,21.0
127,Yes,128,Margaret,Johnston,Texas,Female,19.0,2.0,2.0
128,No,129,Laura,Ford,Texas,Female,17.0517799353,3.0,18.0
129,Yes,130,Lillian,Perez,Colorado,Female,16.9588744589,4.0,19.0
130,No,131,Jose,Morgan,Pennsylvania,Male,19.0,2.0,8.0
131,Yes,132,Andrew,Meyer,,Male,17.0,2.0,16.7755610973
132,Yes,133,Joshua,Lynch,Connecticut,Male,18.0,3.50537634409,7.0
133,No,134,Sean,Sanders,New York,Male,16.0,2.0,8.0
134,Yes,135,Bruce,Williamson,Minnesota,Male,17.0,3.50537634409,16.7755610973
135,No,136,Harry,Reid,Mississippi,Male,17.0517799353,3.0,30.0
136,No,137,Beverly,Wallace,Colorado,Female,19.0,3.0,9.0
137,Yes,138,Elizabeth,Ryan,Washington,Female,15.0,3.50537634409,3.0
138,No,139,James,Russell,Florida,Male,19.0,2.0,29.0
139,No,140,Judith,Warren,,Female,17.0,3.0,31.0
140,Yes,141,Jesse,Woods,,Male,16.0,4.0,6.0
141,Yes,142,Lori,Alvarez,Tennessee,Female,15.0,4.0,25.0
142,Yes,143,Sara,Collins,Minnesota,Female,18.0,3.0,3.0
143,Yes,144,Nicholas,Graham,Georgia,Male,18.0,4.0,16.7755610973
144,Yes,145,Sara,Armstrong,Georgia,Female,16.0,3.50537634409,7.0
145,Yes,146,Ernest,Harper,Alaska,Male,15.0,4.0,32.0
146,Yes,147,Willie,Fisher,Ohio,Male,18.0,3.50537634409,7.0
147,No,148,Alan,Daniels,Minnesota,Male,17.0,3.0,7.0
148,Yes,149,Jason,Moreno,Virginia,Male,16.9588744589,4.0,16.0
149,Yes,150,Rose,Brooks,District of Columbia,Female,15.0,4.0,16.7755610973
150,Yes,151,Shawn,Green,,Male,18.0,3.50537634409,10.0
151,No,152,Fred,Henderson,Nevada,Male,19.0,3.0,20.0
152,Yes,153,Evelyn,Watson,New Jersey,Female,18.0,4.0,12.0
153,Yes,154,Wanda,Hawkins,Minnesota,Female,16.0,3.50537634409,30.0
154,Yes,155,Clarence,Baker,New York,Male,19.0,2.0,16.7755610973
155,No,156,Juan,Bradley,Kentucky,Male,19.0,2.0,14.0
156,No,157,Anne,Stone,New York,Female,17.0,2.0,15.0
157,Yes,158,Raymond,Davis,New Mexico,Male,16.9588744589,3.50537634409,30.0
158,Yes,159,Sharon,Fuller,Texas,Female,17.0,2.0,16.7755610973
159,No,160,Raymond,James,Florida,Male,15.0,3.0,28.0
160,No,161,Evelyn,Berry,,Female,18.0,2.0,25.0
161,Yes,162,Brandon,Bryant,Delaware,Male,16.9588744589,3.50537634409,33.0
162,No,163,Maria,Medina,Missouri,Female,15.0,3.0,32.0
163,No,164,Pamela,Phillips,Washington,Female,17.0,3.0,23.0
164,No,165,Eugene,Weaver,Washington,Male,19.0,2.0,30.0
165,Yes,166,Janet,Martin,Kansas,Female,17.0,3.0,2.0
166,No,167,Angela,Marshall,Tennessee,Female,18.0,3.0,23.0
167,Yes,168,Tina,Lopez,Nevada,Female,16.9588744589,3.0,16.7755610973
168,No,169,Matthew,Cox,District of Columbia,Male,19.0,2.0,5.0
169,Yes,170,Louise,Morales,Alaska,Female,15.0,2.0,16.7755610973
170,Yes,171,Annie,Oliver,District of Columbia,Female,18.0,3.50537634409,11.0
171,No,172,Gregory,Diaz,Michigan,Male,19.0,2.0,22.0
172,No,173,Carolyn,Matthews,Connecticut,Female,16.0,2.0,9.0
173,No,174,Marilyn,Martinez,Florida,Female,17.0,3.0,23.0
174,No,175,Carolyn,Daniels,Louisiana,Female,18.0,2.0,33.0
175,Yes,176,Larry,Ross,Tennessee,Male,17.0,4.0,16.7755610973
176,Yes,177,Brandon,Carpenter,Florida,Male,15.0,3.50537634409,18.0
177,Yes,178,Andrea,Fox,Texas,Female,16.9588744589,3.50537634409,11.0
178,Yes,179,Victor,Ferguson,California,Male,18.0,4.0,16.7755610973
179,No,180,Katherine,Alexander,Florida,Female,17.0517799353,3.0,28.0
180,Yes,181,John,Bailey,Virginia,Male,17.0,3.50537634409,31.0
181,Yes,182,Eric,Hill,Georgia,Male,15.0,4.0,16.7755610973
182,No,183,Randy,Jacobs,Florida,Male,18.0,3.0,34.0
183,Yes,184,Patricia,Welch,Nevada,Female,16.9588744589,3.0,16.7755610973
184,No,185,Tammy,Flores,,Female,17.0517799353,3.0,23.0
185,No,186,Mark,Meyer,South Carolina,Male,17.0517799353,3.0,8.0
186,No,187,Brian,Snyder,,Male,18.0,2.0,22.0
187,Yes,188,Walter,Brown,District of Columbia,Male,15.0,2.0,16.7755610973
188,No,189,Patrick,Daniels,Colorado,Male,19.0,3.0,4.0
189,Yes,190,Diane,Collins,Louisiana,Female,17.0,4.0,25.0
190,Yes,191,Irene,Warren,Kansas,Female,17.0,3.0,16.7755610973
191,Yes,192,Janet,Gibson,Tennessee,Female,19.0,4.0,16.7755610973
192,No,193,Eugene,Porter,Kentucky,Male,18.0,3.0,23.0
193,Yes,194,Amy,Sullivan,Missouri,Female,19.0,3.0,16.7755610973
194,No,195,George,Rogers,Michigan,Male,19.0,3.0,15.0
195,Yes,196,Cheryl,Simmons,Virginia,Female,16.9588744589,4.0,17.0
196,Yes,197,Maria,Torres,,Female,15.0,4.0,6.0
197,Yes,198,Jonathan,Lewis,District of Columbia,Male,15.0,2.0,16.7755610973
198,Yes,199,Jeremy,Dixon,Virginia,Male,15.0,3.50537634409,34.0
199,No,200,Raymond,Campbell,Texas,Male,19.0,3.0,24.0
200,Yes,201,Heather,Foster,,Female,15.0,4.0,24.0
201,Yes,202,Gary,Reid,Pennsylvania,Male,16.0,3.50537634409,14.0
202,No,203,Peter,Mitchell,District of Columbia,Male,19.0,3.0,15.0
203,Yes,204,Jean,Mendoza,Alabama,Female,15.0,4.0,6.0
204,No,205,Diane,Rice,Texas,Female,15.0,3.0,28.0
205,No,206,Shawn,Hansen,Kansas,Male,16.0,3.0,28.0
206,Yes,207,Kathryn,Harris,Texas,Female,16.0,4.0,18.0
207,Yes,208,Jesse,Little,Georgia,Male,16.0,3.50537634409,5.0
208,Yes,209,Joan,Ward,Ohio,Female,19.0,2.0,16.7755610973
209,Yes,210,Frances,Arnold,District of Columbia,Female,17.0,3.50537634409,16.7755610973
210,Yes,211,Maria,Bowman,Virginia,Female,19.0,4.0,16.7755610973
211,Yes,212,Robin,Perry,California,Female,15.0,4.0,2.0
212,Yes,213,Mary,Oliver,,Female,18.0,3.50537634409,16.0
213,No,214,Catherine,Graham,,Female,17.0517799353,2.0,6.0
214,Yes,215,Bonnie,Harris,Florida,Female,16.9588744589,3.50537634409,8.0
215,No,216,Jeremy,Wood,Nevada,Male,17.0517799353,2.0,5.0
216,Yes,217,Joan,Hamilton,Arizona,Female,15.0,3.50537634409,16.7755610973
217,Yes,218,Terry,Rogers,Alabama,Male,17.0,4.0,10.0
218,No,219,Kenneth,Chapman,Illinois,Male,16.0,3.0,24.0
219,No,220,Anne,Diaz,Texas,Female,16.0,2.0,33.0
220,No,221,Carol,Welch,Texas,Female,19.0,3.0,33.0
221,No,222,Paula,Clark,Minnesota,Female,19.0,2.0,33.0
222,Yes,223,Gary,Nichols,Florida,Male,17.0,3.50537634409,28.0
223,No,224,Jose,Snyder,,Male,18.0,2.0,17.0
224,Yes,225,Catherine,Barnes,Pennsylvania,Female,16.9588744589,3.50537634409,16.7755610973
225,No,226,Jack,Henry,Texas,Male,19.0,2.0,12.0
226,Yes,227,Terry,Thomas,Montana,Male,18.0,4.0,14.0
227,Yes,228,Melissa,Patterson,New York,Female,16.9588744589,4.0,17.0
228,No,229,Nancy,Bailey,Colorado,Female,15.0,2.0,31.0
229,Yes,230,Lisa,Knight,Louisiana,Female,16.9588744589,4.0,3.0
230,No,231,Jesse,Medina,Washington,Male,17.0,2.0,28.0
231,Yes,232,Harry,Holmes,South Carolina,Male,18.0,3.50537634409,13.0
232,Yes,233,Alan,Gonzales,Georgia,Male,16.9588744589,4.0,4.0
233,No,234,Jerry,Webb,California,Male,18.0,2.0,10.0
234,Yes,235,Juan,Ross,Florida,Male,19.0,2.0,16.7755610973
235,Yes,236,Amy,Gomez,New York,Female,19.0,3.50537634409,12.0
236,Yes,237,Patrick,Willis,Illinois,Male,17.0,3.50537634409,30.0
237,Yes,238,Carlos,Wallace,South Carolina,Male,16.9588744589,3.50537634409,33.0
238,No,239,Brenda,Marshall,Idaho,Female,17.0517799353,3.0,4.0
239,Yes,240,Gloria,Brooks,Texas,Female,16.0,4.0,34.0
240,No,241,Christopher,Morgan,Texas,Male,15.0,3.0,34.0
241,No,242,Angela,Wagner,Texas,Female,16.0,2.0,11.0
242,Yes,243,Andrew,Lopez,Connecticut,Male,16.9588744589,3.50537634409,16.7755610973
243,No,244,Matthew,Greene,Nevada,Male,17.0517799353,2.0,5.0
244,No,245,Earl,Lawson,Massachusetts,Male,15.0,3.0,26.0
245,No,246,William,Matthews,,Male,15.0,2.0,20.0
246,Yes,247,Victor,Palmer,Idaho,Male,15.0,3.0,16.7755610973
247,Yes,248,Phillip,Gonzalez,District of Columbia,Male,15.0,3.50537634409,16.7755610973
248,No,249,Diana,Jacobs,Florida,Female,18.0,2.0,24.0
249,No,250,Jerry,Sanders,Georgia,Male,19.0,3.0,6.0
250,No,251,Lisa,Owens,West Virginia,Female,16.0,3.0,17.0
251,Yes,252,Philip,Stone,California,Male,16.9588744589,4.0,16.7755610973
252,Yes,253,Frank,Vasquez,California,Male,15.0,4.0,16.7755610973
253,No,254,Eugene,Scott,Florida,Male,17.0517799353,2.0,17.0
254,No,255,Kathy,Lopez,Florida,Female,18.0,3.0,24.0
255,Yes,256,Justin,Wheeler,California,Male,15.0,4.0,23.0
256,No,257,Tina,Schmidt,North Carolina,Female,15.0,3.0,12.0
257,No,258,Ronald,Thomas,Florida,Male,15.0,2.0,20.0
258,Yes,259,Michelle,Bradley,District of Columbia,Female,16.0,3.50537634409,32.0
259,Yes,260,Andrea,Warren,Florida,Female,18.0,3.50537634409,33.0
260,No,261,Richard,Romero,Michigan,Male,17.0517799353,2.0,28.0
261,Yes,262,Amanda,Reyes,Texas,Female,17.0,4.0,33.0
262,Yes,263,Richard,Collins,Kentucky,Male,18.0,2.0,16.7755610973
263,Yes,264,Kenneth,Olson,Illinois,Male,19.0,3.50537634409,16.7755610973
264,No,265,Adam,Perry,Georgia,Male,17.0517799353,2.0,34.0
265,Yes,266,Carl,Montgomery,,Male,16.9588744589,4.0,29.0
266,No,267,Harold,Powell,Texas,Male,15.0,2.0,12.0
267,No,268,Donald,Little,Kentucky,Male,16.0,2.0,33.0
268,Yes,269,Amy,Schmidt,California,Female,16.0,3.50537634409,3.0
269,Yes,270,Patricia,Hawkins,California,Female,16.0,3.50537634409,16.7755610973
270,No,271,Raymond,Hill,District of Columbia,Male,17.0517799353,3.0,29.0
271,Yes,272,Laura,Watson,Louisiana,Female,19.0,3.50537634409,13.0
272,Yes,273,Nicholas,Morgan,Minnesota,Male,18.0,3.50537634409,16.7755610973
273,No,274,Anthony,Franklin,Illinois,Male,17.0517799353,2.0,9.0
274,Yes,275,Raymond,Shaw,Oregon,Male,19.0,2.0,16.7755610973
275,Yes,276,Denise,Garza,North Carolina,Female,15.0,3.50537634409,30.0
276,Yes,277,Bobby,Butler,District of Columbia,Male,16.9588744589,3.50537634409,14.0
277,Yes,278,Dennis,Baker,Ohio,Male,16.9588744589,3.50537634409,3.0
278,No,279,Brenda,Butler,Virginia,Female,16.0,3.0,9.0
279,Yes,280,Melissa,Morales,District of Columbia,Female,19.0,3.50537634409,30.0
280,No,281,Amy,Franklin,Florida,Female,18.0,3.0,32.0
281,Yes,282,Juan,Hunt,California,Male,18.0,3.50537634409,8.0
282,Yes,283,Brian,Gibson,California,Male,19.0,4.0,17.0
283,No,284,Kathy,Duncan,Florida,Female,15.0,3.0,22.0
284,No,285,Steve,Montgomery,Texas,Male,15.0,3.0,27.0
285,No,286,Amy,King,Indiana,Female,15.0,3.0,18.0
286,No,287,Christine,Freeman,Georgia,Female,17.0517799353,3.0,17.0
287,No,288,Sean,Stephens,California,Male,18.0,2.0,8.0
288,No,289,Pamela,Hill,,Female,17.0517799353,2.0,25.0
289,No,290,Patrick,Gonzalez,Arizona,Male,17.0517799353,2.0,31.0
290,Yes,291,Matthew,Sullivan,Texas,Male,16.0,2.0,16.7755610973
291,Yes,292,Joseph,Kelley,,Male,16.9588744589,3.0,16.7755610973
292,Yes,293,Anthony,Roberts,Colorado,Male,17.0,2.0,16.7755610973
293,Yes,294,Andrew,Marshall,Louisiana,Male,17.0,4.0,32.0
294,No,295,Pamela,Armstrong,Washington,Female,17.0,3.0,11.0
295,Yes,296,Julia,Carr,Texas,Female,17.0,4.0,16.7755610973
296,No,297,Ernest,Day,Florida,Male,15.0,3.0,17.0
297,Yes,298,Marie,Ford,Florida,Female,16.9588744589,3.0,16.7755610973
298,Yes,299,Clarence,Medina,District of Columbia,Male,18.0,4.0,16.7755610973
299,No,300,Maria,King,California,Female,17.0517799353,2.0,8.0
300,Yes,301,Evelyn,Robertson,Florida,Female,15.0,3.50537634409,2.0
301,Yes,302,Mark,Frazier,Kentucky,Male,16.9588744589,2.0,3.0
302,No,303,Lillian,Knight,Colorado,Female,15.0,3.0,27.0
303,No,304,George,Arnold,Florida,Male,17.0,3.0,32.0
304,No,305,Frances,Parker,Indiana,Female,17.0517799353,3.0,34.0
305,Yes,306,David,Thompson,Texas,Male,17.0,4.0,4.0
306,Yes,307,Wayne,Diaz,Virginia,Male,17.0,4.0,7.0
307,Yes,308,Lawrence,Bradley,West Virginia,Male,19.0,4.0,25.0
308,No,309,Patricia,Hayes,Florida,Female,19.0,2.0,25.0
309,Yes,310,Helen,Jordan,South Carolina,Female,18.0,3.0,16.7755610973
310,Yes,311,Stephanie,Moreno,Louisiana,Female,19.0,4.0,16.7755610973
311,No,312,Emily,Edwards,New York,Female,17.0517799353,2.0,13.0
312,No,313,Virginia,Howard,New York,Female,19.0,3.0,15.0
313,Yes,314,Anthony,Hart,Indiana,Male,18.0,4.0,16.7755610973
314,Yes,315,Jacqueline,Gomez,,Female,16.0,3.50537634409,33.0
315,Yes,316,Gloria,Hunter,California,Female,16.9588744589,2.0,3.0
316,Yes,317,Timothy,Gardner,,Male,18.0,4.0,18.0
317,Yes,318,Gregory,Hunt,California,Male,16.9588744589,4.0,10.0
318,Yes,319,Cynthia,Brown,Arizona,Female,16.9588744589,3.50537634409,30.0
319,Yes,320,Nicholas,Campbell,North Carolina,Male,16.0,4.0,16.7755610973
320,Yes,321,Steve,Garcia,Vermont,Male,17.0,3.0,16.7755610973
321,Yes,322,Catherine,Hanson,Virginia,Female,18.0,4.0,29.0
322,No,323,Jennifer,Gonzales,New York,Female,17.0,3.0,23.0
323,No,324,Judy,Reyes,New York,Female,16.0,3.0,29.0
324,No,325,Scott,Stone,Minnesota,Male,16.0,3.0,5.0
325,No,326,Ryan,Reed,Texas,Male,18.0,2.0,8.0
326,Yes,327,Randy,Mason,Virginia,Male,16.9588744589,4.0,31.0
327,Yes,328,Victor,Day,North Carolina,Male,16.0,3.50537634409,4.0
328,Yes,329,Karen,Vasquez,Delaware,Female,15.0,4.0,23.0
329,Yes,330,Gary,Medina,Michigan,Male,15.0,3.0,16.7755610973
330,Yes,331,Donna,Torres,New York,Female,17.0,3.50537634409,16.7755610973
331,No,332,Doris,Scott,,Female,15.0,3.0,34.0
332,No,333,Donna,Hunter,,Female,17.0517799353,3.0,32.0
333,No,334,Linda,Harvey,Alabama,Female,17.0517799353,2.0,16.0
334,No,335,Patricia,Chapman,Ohio,Female,17.0517799353,2.0,23.0
335,Yes,336,Kimberly,Reynolds,Georgia,Female,15.0,4.0,14.0
336,Yes,337,Annie,Morgan,Texas,Female,16.0,2.0,16.7755610973
337,Yes,338,Jerry,Hanson,,Male,15.0,4.0,9.0
338,No,339,Jeffrey,Peterson,New Mexico,Male,19.0,2.0,5.0
339,No,340,Anthony,Daniels,Tennessee,Male,16.0,2.0,8.0
340,No,341,Anna,Day,Oklahoma,Female,18.0,2.0,31.0
341,Yes,342,Debra,Arnold,Florida,Female,17.0,3.50537634409,25.0
342,Yes,343,Judith,Cunningham,California,Female,15.0,4.0,25.0
343,Yes,344,Deborah,Reynolds,Virginia,Female,18.0,4.0,22.0
344,Yes,345,Theresa,Garza,,Female,15.0,3.50537634409,16.7755610973
345,Yes,346,Angela,Sanchez,Nevada,Female,19.0,4.0,27.0
346,No,347,Timothy,George,Wisconsin,Male,17.0517799353,3.0,19.0
347,Yes,348,Angela,Jordan,North Carolina,Female,15.0,3.50537634409,23.0
348,Yes,349,Paula,Hunter,,Female,16.9588744589,4.0,5.0
349,No,350,Harold,Evans,Colorado,Male,17.0517799353,2.0,34.0
350,No,351,Sara,Burke,Kentucky,Female,19.0,3.0,27.0
351,Yes,352,Nancy,Bryant,New York,Female,18.0,4.0,19.0
352,Yes,353,Anna,Stephens,,Female,16.0,4.0,16.7755610973
353,No,354,Joyce,Bryant,California,Female,19.0,3.0,30.0
354,No,355,Joyce,Baker,West Virginia,Female,17.0,2.0,28.0
355,No,356,Gary,Fernandez,Maryland,Male,16.0,3.0,31.0
356,Yes,357,Terry,Anderson,Washington,Male,18.0,4.0,6.0
357,No,358,Carlos,Murphy,Oklahoma,Male,17.0,2.0,7.0
358,No,359,Christina,Cox,Missouri,Female,18.0,2.0,22.0
359,No,360,Bonnie,Morrison,,Female,17.0517799353,3.0,23.0
360,Yes,361,Steven,Hansen,Wisconsin,Male,18.0,3.50537634409,16.7755610973
361,No,362,Sara,Perry,North Carolina,Female,17.0517799353,3.0,17.0
362,Yes,363,Marie,Rice,Washington,Female,18.0,4.0,16.7755610973
363,Yes,364,Christopher,Torres,Pennsylvania,Male,18.0,4.0,25.0
364,Yes,365,Richard,Martin,,Male,17.0,3.50537634409,27.0
365,Yes,366,Todd,Hernandez,,Male,17.0,3.50537634409,2.0
366,Yes,367,Mary,Patterson,District of Columbia,Female,17.0,4.0,13.0
367,Yes,368,Ann,Davis,California,Female,16.0,2.0,16.7755610973
368,Yes,369,David,Lynch,Arizona,Male,15.0,3.50537634409,13.0
